<<<<<<< HEAD
Fichero actualizado a fecha: 2014-10-19 13:52:56
Nombre del Organismo;Descripción;DatosPersonales;Dirección;Calle;CodigoPostal;Localidad;Localidad;SoloClasificar;Teléfono;Telefax oficial;Fax;e-mail;Páginas de internet;Posicion;Información Adicional;Directorio Superior;Identificador Directorio Superior;Identificador;FechaModificacion;Enlace al contenido;
"Centro de Estudios y Documentación del Camino de Santiago-Biblioteca Jacobea de Carrión de los Condes";;"Ángel Luis Barreda Ferrer";"Real Monasterio de San Zoilo. 34120 Carrión de los Condes";"Real Monasterio de San Zoilo";"34120";"Carrión de los Condes";"1179298069830";;"979 880 902";;;"ingo@bibliotecajacobea.org";"http://www.bibliotecajacobea.org";"42.34005310485494#-4.610041379928589#100";;"Palencia";"1284269350265";1195423475956;20140313;"http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaPalencia/es/Plantilla100Detalle/1284212879564/_/1195423475956/DirectorioPadre";
"Biblioteca Auxiliar del Archivo Histórico Provincial de Palencia";;"Susana Tomé Fernández";"C/ Niños de Coro, nº 4. 34005 Palencia";"C/ Niños de Coro, nº 4";"34005";"Palencia";"1179298103860";;"979 746 533";;;"tomfersu@jcyl.es";;"42.013144502274336#-4.535551071166992#88";;"Palencia";"1284269350265";1284141865704;20140313;"http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaPalencia/es/Plantilla100Detalle/1284212879564/_/1284141865704/DirectorioPadre";
"Biblioteca de Caja Círculo";;;"Avda. cardenal Cisneros, nº 26. 34004 Palencia";"Avda. Cardenal Cisneros, nº 26";"34001";"Palencia";"1179298103860";;;;;;"http://www.cajacirculo.com/es/detalle.php?PA_ID=454&O_ID=39&E_ID=3&P_ID=79#";"42.00507690168743#-4.52387809753418#94";;"Palencia";"1284269350265";1284225172404;20140313;"http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaPalencia/es/Plantilla100Detalle/1284212879564/_/1284225172404/DirectorioPadre";
"Biblioteca Pública de Palencia";;;;"C/ Eduardo Dato, 4";"34005";"Palencia";"1179298103860";;"979 751 100";;"979 751 121";"bppalencia@jcyl.es";"http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaPalencia/es/Plantilla66y33/1284212879564/_/_/_";"42.013399587581205#-4.534783959388733#106";;"Palencia";"1284269350265";1284236223917;20140313;"http://www.datosabiertos.jcyl.es/web/jcyl/RISP/es/Plantilla100Detalle/1284162055979/_/1284236223917/DirectorioPadre";
"Biblioteca Pública Municipal de Alaraz";;"Paloma Atochero Salinero";"C/ Pedraza, 2. 37312 Alaraz ( Salamanca )";"C/ Pedraza, 2";"37312";"Alaraz";"1179298176876";;"923 550 302";;;;;"40.74852493834032#-5.289316177368164#88";;"Salamanca";"1284269350572";1195628588338;20140313;"http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaSalamanca/es/Plantilla100Detalle/1284212879599/_/1195628588338/DirectorioPadre";
"Biblioteca Pública Municipal de Ciudad Rodrigo";;"Rosa Mª Pereña Velasco";;" Plaza del Conde, n 2. Apartado de Correos 59";"37500";"Ciudad Rodrigo";"1179298231776";;"923 461 862";;"923 461 862";"biblioteca@aytociudadrodrigo.es";;"40.59912799465232#-6.533818244934082#88";;"Salamanca";"1284269350572";1195686967916;20140313;"http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaSalamanca/es/Plantilla100Detalle/1284212879599/_/1195686967916/DirectorioPadre";
"Biblioteca Pública Municipal de La Fuente de San Esteban";;"Clemente Marcos Martín";;"Pza de España, s/n";"37200";"Fuente de San Esteban (La)";"1179298243716";;"923 440 045";;"923 440 220";"afuentese@laley-actualidad.es";;"40.801595647680344#-6.258516311645508#88";;"Salamanca";"1284269350572";1195686969921;20140313;"http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaSalamanca/es/Plantilla100Detalle/1284212879599/_/1195686969921/DirectorioPadre";
"Biblioteca Pública Municipal de Valdefuentes de Sangusín";;"Mª Belén Sánchez Sánchez";;"Plaza de la Iglesia, 8";"37680";"Valdefuentes de Sangusín";"1179298359729";;"923 413 819";;"923 413 819";;;"40.46640893172652#-5.831937789916992#88";;"Salamanca";"1284269350572";1195687070234;20140313;"http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaSalamanca/es/Plantilla100Detalle/1284212879599/_/1195687070234/DirectorioPadre";
"Biblioteca Pública Municipal de Villamayor";;"Manuel Hernández Leal";;"C/ Escuelas menores, s/n";"37185";"Villamayor";"1179298370510";;"923 305 671";;"923 286 438";"biblioteca@villamayor.es";;"40.99658118535363#-5.6946516036987305#88";;"Salamanca";"1284269350572";1195801348078;20140313;"http://www.cultura.jcyl.es/web/jcyl/Cultura/es/Plantilla100Detalle/1284282053297/_/1195801348078/DirectorioPadre";
"Biblioteca Pública Municipal de Vitigudino";;"Raquel Bernal Villoria";;"C/ Aire, 15";"37210";"Vitigudino";"1179298385746";;"923 501 367";;"923 501 367";"pijvitigudino@wanadoo.es";;"41.01144665710554#-6.431035995483398#88";;"Salamanca";"1284269350572";1195801357595;20140313;"http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaSalamanca/es/Plantilla100Detalle/1284212879599/_/1195801357595/DirectorioPadre";
"Biblioteca Pública Municipal de Sepúlveda";;"Jesús Hernanz Lobo";"C/ Comunidad de Villa y Tierra, 2. 40300 Sepúlveda";"C/ Comunidad de Villa y Tierra, 2";"40300";"Sepúlveda";"1179298566416";;"921 540 485";;;"bibliotecadesepulveda@gmail.com";;"41.29786395920916#-3.7501144409179687#88";;"Segovia";"1284269350926";1284168947081;20140314;"http://www.cultura.jcyl.es/web/jcyl/Cultura/es/Plantilla100Detalle/1284282053297/_/1284168947081/DirectorioPadre";
"Biblioteca Pública Municipal de San Leonardo de Yagüe";;"Mª Carmen Lozano Blasco";"C/ Plaza de Don Juan Yagüe Blanco, 1. 42140 San Leonardo de Yagüe";"C/ Plaza de Don Juan Yagüe Blanco, 1";"42140";"San Leonardo de Yagüe";"1179469193435";;;;;"bpm.sanleonardo@gmail.com";;"41.82954537556443#-3.0680716037750244#100";;"Soria";"1284269351095";1194247063973;20140313;"http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaSoria/es/Plantilla100Detalle/1284212879671/_/1194247063973/DirectorioPadre";
"Biblioteca Pública Municipal de Santa María de Huerta";;;"C/ Santa Magdalena Sofía, s/n. 42260 Santa María de Huerta";"C/ Santa Magdalena Sofía, s/n";"42260";"Santa María de Huerta";"1179469196168";;;;;;;"41.26288833880909#-2.1775996685028076#100";;"Soria";"1284269351095";1194247093740;20140313;"http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaSoria/es/Plantilla100Detalle/1284212879671/_/1194247093740/DirectorioPadre";
"Biblioteca de la Universidad de Valladolid. Campus de Soria";"Biblioteca de la Universidad de Valladolid. Campus de Soria";"Carmen Sánchez Martínez";"Campus Duques de Soria, s/n. 42005 Soria";"Campus Duques de Soria, s/n";"42005";"Soria";"1179469197687";;"975 129 210";;;;;"41.75255302474376#-2.469820976257324#88";;"Soria";"1284269351095";1200492258995;20140313;"http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaSoria/es/Plantilla100Detalle/1284212879671/_/1200492258995/DirectorioPadre";
"Biblioteca Pública Municipal de Alaejos";;"Isabel Martín Sánchez";;"C/ Jardines, s/n";"47510";"Alaejos";"1179469232884";;"983 817 548";;;"biblioteca.alaejos@gmail.com";;"41.304763342629556#-5.220694541931152#88";;"Valladolid";"1284269351464";1193641818401;20140313;"http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaValladolid/es/Plantilla100Detalle/1276515979208/_/1193641818401/DirectorioPadre";
"Biblioteca Pública Municipal de Olmedo";;"Araceli Sanz Molpeceres";"Real Chancillería. Plaza Mayor, 12. Entrada por C/ Carnicerías. 47410 Olmedo (Valladolid)";"Real Chancillería. Plaza Mayor, 12. Entrada por C/ Carnicerías";"47410";"Olmedo";"1179469269587";;"983 623 065";;;"biblioteca.olmedo@dip-valladolid.es";;"41.28860990195915#-4.686784744262695#88";;"Valladolid";"1284269351464";1193641919079;20140313;"http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaValladolid/es/Plantilla100Detalle/1276515979208/_/1193641919079/DirectorioPadre";
"Biblioteca Pública Municipal de La Cistérniga";;"Elisa Martín Rodríguez";;"Avda. Yeseras, s/n";"47193";"Cistérniga";"1179469247746";;"983 404 958";;;"biblioteca@lacisterniga.es";;"41.61226589760172#-4.681334495544434#88";;"Valladolid";"1284269351464";1261041522719;20140313;"http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaValladolid/es/Plantilla100Detalle/1276515979208/_/1261041522719/DirectorioPadre";
"Biblioteca Pública Municipal de Viana de Cega";;"Juan Jesús de Lamadrid Casorrán";;"Plaza Mayor, 4";"47150";"Viana de Cega";"1179469317247";;"983 546 812";"983 554 267";;"cultura.viana@dip-valladolid.es";;"41.528896#-4.752168#88";;"Valladolid";"1284269351464";1284375332719;20141017;"http://www.cultura.jcyl.es/web/jcyl/Cultura/es/Plantilla100Detalle/1284282053297/_/1284375332719/DirectorioPadre";
"Biblioteca Pública Municipal de Almeida de Sayago";"Biblioteca Pública Municipal de Almeida de Sayago";"Olga Salvador Regidor";"C/ Calvo Sotelo, s/n. 49210 Almeida de Sayago (Zamora)";"C/ Venancia Pérez, s/n";"49210";"Almeida de Sayago";"1179469333638";;"980 612 129 (Btca.), 980 612 003 (Ayto.)";;"980 612 003 (Ayto.)";"BPM.ALMEI@gmail.com";;"41.26651738652609#-6.075954437255859#94";;"Zamora";"1284269351631";1203344041974;20140313;"http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaZamora/es/Plantilla100Detalle/1284212879708/_/1203344041974/DirectorioPadre";
=======
Nombre del Organismo;Descripción;DatosPersonales;Dirección;Calle;CodigoPostal;Localidad;Localidad;SoloClasificar;Teléfono;Telefax oficial;Fax;e-mail;Páginas de internet;Posicion;Información Adicional;Directorio Superior;Identificador Directorio Superior;Identificador;FechaModificacion;Enlace al contenido
Biblioteca Pública Municipal de Riaza;;Victoria Fernández del Pozo;C/ María Sanz Ramírez, 2. 40500 Riaza;C/ María Sanz Ramírez, 2;40500;Riaza;1,18E+12;;;;;riaza@siacajasegovia.com;;41.27903202153456#-3.4773874282836914#88;;Segovia;1,28E+12;1,19E+12;20140313;http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaSegovia/es/Plantilla100Detalle/1284212879636/_/1191909671559/DirectorioPadre
Biblioteca Pública Municipal de Arroyo de la Encomienda;;Mayka Renedo Castrillo;;C/ Zarza, s/n. La Flecha;47195;Arroyo de la Encomienda;1,18E+12;;983 406 055;;983 407 593;;;41.615698998826346#-4.797248840332031#71;;Valladolid;1,28E+12;1,20E+12;20140313;http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaValladolid/es/Plantilla100Detalle/1276515979208/_/1203344709433/DirectorioPadre
Biblioteca Pública de Burgos;;;;Plaza San Juan, s/n;9004;Burgos;1,18E+12;;947 256 419;;947 202 877;bpburgos@jcyl.es;http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaBurgos/es/Plantilla66y33/1284212879414/_/_/_;42.34259274212382#-3.6957380175590515#112;;Burgos;1,28E+12;1,28E+12;20140313;http://www.datosabiertos.jcyl.es/web/jcyl/RISP/es/Plantilla100Detalle/1284162055979/_/1284259518643/DirectorioPadre
Biblioteca Pública Municipal de Las Navas del Marqués;;María Encarnación González Labrador;C / Paco Segovia, 1. 05230 Las Navas del Marqués;C / Paco Segovia, 1;5230;Navas del Marqués (Las);1,18E+12;;918 970 347;;;biblionavas@gmail.com;http://es-es.facebook.com/biblionavas, http://twitter.com/biblionavas;40.60371414997791#-4.333671927452087#106;;Ávila;1,28E+12;1,19E+12;20140313;http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaAvila/es/Plantilla100Detalle/1284212873300/_/1193120404106/DirectorioPadre
Biblioteca Palacio de los Serrano. Fundación Caja Ávila;;Laura Marcos;;Plaza de Italia, 1;5001;Ávila;1,18E+12;;920 212 223;;;fundacion@fundacioncajadeavila.es;http://www.fundacioncajadeavila.es;40.65571606349382#-4.695845246315002#112;;Ávila;1,28E+12;1,19E+12;20140822;http://www.cultura.jcyl.es/web/jcyl/Cultura/es/Plantilla100Detalle/1284282053297/_/1193641947556/DirectorioPadre
Biblioteca de la Universidad Católica de Ávila;;María Sonsoles Rodríguez Crespo;C/ Canteros s/n 05005 Ávila;C/ Canteros s/n;5005;Ávila;1,18E+12;;920 251 020 Ext. 131 y 33;;920 222 103;biblioteca@ucavila.es;https://www.ucavila.es/biblioteca/;40.664396066466764#-4.698543548583984#88;;Ávila;1,28E+12;1,19E+12;20140313;http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaAvila/es/Plantilla100Detalle/1284212873300/_/1193727696464/DirectorioPadre
Biblioteca Pública Municipal de Belorado;;Mercedes Alvarez Alonso;;Plaza Mayor, 1;9250;Belorado;1,18E+12;;947 585 024;;;bibliotecabelorado@gmail.com;http://www.Belorado.es/turismo-y-ocio/bibliotecas;42.42098549043597#-3.1896400451660156#88;;Burgos;1,28E+12;1,19E+12;20140724;http://www.cultura.jcyl.es/web/jcyl/Cultura/es/Plantilla100Detalle/1284282053297/_/1193292151728/DirectorioPadre
Biblioteca Pública Municipal de Covarrubias;;Marina Gil Degorce;;C/ Monseñor Vargas, s/n;9346;Covarrubias;1,18E+12;;947 406 397;;;bibliotecacovarrubias@yahoo.es;;42.06003111183482#-3.51961612701416#88;;Burgos;1,28E+12;1,19E+12;20140313;http://www.cultura.jcyl.es/web/jcyl/Cultura/es/Plantilla100Detalle/1284282053297/_/1193292152121/DirectorioPadre
Biblioteca Pública Municipal de Quintana Martín Galíndez;;María José Mata Simón;;Plaza San Roque, 1 Bajo B;9210;Valle de Tobalina;1,18E+12;;947 358 010;;;bibliotecatobalina@hotmail.com;http://www.valledetobalina.com/pag/index2.html;42.794518909668035#-3.2689476013183593#88;;Burgos;1,28E+12;1,19E+12;20140313;http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaBurgos/es/Plantilla100Detalle/1284212879414/_/1193378559447/DirectorioPadre
Biblioteca Pública Municipal de Quintanar de la Sierra;;Belinda Blanco Pablo;;C/ Ernesto Sanz y Sanz, 3;9670;Quintanar de la Sierra;1,18E+12;;947 395 389 (Biblioteca), 947 395 427 (Ayto);;;bibliotecaquintanar@gmail.com;http://clubdelecturaquintanar.blogspot.com.es/2011/04/bienvenids-al-club-de-lectura.html, http://www.quintanardelasierra.es/turismo-y-ocio/bibliotecas;41.981984518008716#-3.040294647216797#88;;Burgos;1,28E+12;1,19E+12;20140313;http://www.cultura.jcyl.es/web/jcyl/Cultura/es/Plantilla100Detalle/1284282053297/_/1193378559579/DirectorioPadre
Biblioteca Pública Municipal de Trespaderne;;Elena López Valcárcel;;Plaza Mayor, s/n;9540;Trespaderne;1,18E+12;;947 308 633, 947 308 011 (Ayto.);947 308 561;;biblioteca@trespaderne.com;;42.818573401893836#-3.3899688720703125#65;;Burgos;1,28E+12;1,19E+12;20140313;http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaBurgos/es/Plantilla100Detalle/1284212879414/_/1193378559869/DirectorioPadre
Biblioteca Auxiliar del Archivo Histórico Provincial de Burgos;;Juncal Zamorano Rodriguez;;C/ Antonio de Cabezón, 8;9004;Burgos;1,18E+12;;947 255 623;;947 265 729;archivo.burgos@jcyl.es;http://www.archivoscastillayleon.jcyl.es/web/jcyl/ArchivosCastillaYLeon/es/Plantilla66y33/1259064196585/_/_/_;42.345445498809944#-3.692607879638672#88;;Burgos;1,28E+12;1,20E+12;20140313;http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaBurgos/es/Plantilla100Detalle/1284212879414/_/1200492359471/DirectorioPadre
Biblioteca de la Universidad de Burgos;;Director: Fernando Martín Rodríguez;;Plaza Infanta Doña Elena, s/n;9001;Burgos;1,18E+12;;947 258 000;947 258 043;;ububib@ubu.es;http://www.ubu.es/biblioteca/;42.3404020384584#-3.728914260864258#88;;Burgos;1,28E+12;1,20E+12;20140313;http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaBurgos/es/Plantilla100Detalle/1284212879414/_/1200492359703/DirectorioPadre
Biblioteca del Monasterio de Santo Domingo de Silos;;;;C/ Santo Domingo, 2;9610;Santo Domingo de Silos;1,18E+12;;947 390 049, 947 390 068;947 39 00 33;;info@bibliotecadesilos.es;http://www.bibliotecadesilos.es/es/portada/;41.966893394601335#-3.41949462890625#71;;Burgos;1,28E+12;1,20E+12;20140313;http://www.datosabiertos.jcyl.es/web/jcyl/RISP/es/Plantilla100Detalle/1284162055979/_/1202286007639/DirectorioPadre
"Biblioteca del I.E.S. ""Cardenal López de Mendoza"". Burgos";;;;Plaza Luis Martín santos, s/n;9002;Burgos;1,18E+12;;947 257 701, 947 260 555;947 257 649;;09001682@educa.jcyl.es;http://www.lopezdemendoza.es/bot.swf;42.35042512243457#-3.67218017578125#59;;Burgos;1,28E+12;1,20E+12;20140313;http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaBurgos/es/Plantilla100Detalle/1284212879414/_/1202288126767/DirectorioPadre
Biblioteca Pública Municipal de Gumiel de Izán;;Mª Carmen Reverte Bermejo;;Calle Santo Domingo de Gúzman, 17;9370;Gumiel de Izán;1,18E+12;;660 266 649, 947 544 111 (Ayuntamiento);;;bibliotecagumieldeizan@gmail.com;;41.770657#-3.6870463#88;;Burgos;1,28E+12;1,28E+12;20140317;http://www.cultura.jcyl.es/web/jcyl/Cultura/es/Plantilla100Detalle/1284282053297/_/1284311815620/DirectorioPadre
Biblioteca Pública Municipal de Sahagún;Biblioteca Pública Municipal de Sahagún;Carmen Sofía Cuenca Quintana;Plaza de Santiago, 13. 24320 Sahagún (León);Plaza de Santiago, 13;24320;Sahagún;1,18E+12;;987 782 169, 987 780 001 (Ayto.);987 781 000;;;;42.37114024462831#-5.029860734939575#100;;León;1,28E+12;1,19E+12;20140313;http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaLeon/es/Plantilla100Detalle/1284212879528/_/1194505199698/DirectorioPadre
Biblioteca Pública Municipal de Villablino;Biblioteca Pública Municipal de Villablino;Neli Alonso Meléndez;Plaza Luis Mateo Díez, s/n. 24100 Villablino (León);Plaza Luis Mateo Díez, s/n;24100;Villablino;1,18E+12;;987 471 866;;;;;42.93997008565237#-6.320925951004028#100;;León;1,28E+12;1,19E+12;20140313;http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaLeon/es/Plantilla100Detalle/1284212879528/_/1194505210036/DirectorioPadre
Biblioteca Pública Municipal de Toreno;Biblioteca Pública Municipal de Toreno;Pedro Seijas Díez;C/ Cervantes, 1. 24450 Toreno (León);C/ Cervantes, 1;24450;Toreno;1,18E+12;;987 533 062, 987 533 003 (Ayto.);;;bibliopmt@terra.es;;42.69798663201539#-6.512736082077026#100;;León;1,28E+12;1,19E+12;20140313;http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaLeon/es/Plantilla100Detalle/1284212879528/_/1194505232510/DirectorioPadre
Biblioteca Pública Municipal de La Robla;Biblioteca Pública Municipal de La Robla;María Teresa Santos Pérez;C/ Ramón y Cajal, s/n. 24640 La Robla (León);C/ Ramón y Cajal, s/n;24640;Robla (La);1,18E+12;;987 570 439;;;;;42.80275327368569#-5.628776550292969#94;;León;1,28E+12;1,19E+12;20140313;http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaLeon/es/Plantilla100Detalle/1284212879528/_/1194505234209/DirectorioPadre
Biblioteca Pública Municipal de Villaquilambre;Biblioteca Pública Municipal de Villaquilambre;Pedro Carnicero;C/ La Era, s/n. 24193 Villaquilambre (León);C/ La Era, s/n;24193;Villaquilambre;1,18E+12;;987 287 211;;;;;42.647454561604285#-5.558888912200928#94;;León;1,28E+12;1,19E+12;20140313;http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaLeon/es/Plantilla100Detalle/1284212879528/_/1194505266907/DirectorioPadre
Biblioteca Pública Municipal de Caboalles de Abajo;"Biblioteca Pública Municipal ""Álvarez de la Puerta"" de Caboalles de Abajo";Dulce Mª López Álvarez;;Ctra. Degaña, s/n;24110;Villablino;1,18E+12;;987 490 860, 987 471 984 (Ayto.);;;bibliobabo@hotmail.com;;42.95031324538955#-6.39728307723999#94;;León;1,28E+12;1,19E+12;20140313;http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaLeon/es/Plantilla100Detalle/1284212879528/_/1194591159609/DirectorioPadre
Biblioteca Pública Municipal de Benavides de Órbigo;Biblioteca Pública Municipal de Benavides de Órbigo;Cristina Castro Rodríguez;;C/ Conde Luna, 15;24280;Benavides;1,18E+12;;987 370 902, 987 370 003 (Ayto.);;;bibliobenavides@gmail.com;;42.501718626575304#-5.893821716308594#94;;León;1,28E+12;1,19E+12;20140820;http://www.cultura.jcyl.es/web/jcyl/Cultura/es/Plantilla100Detalle/1284282053297/_/1194591161073/DirectorioPadre
Biblioteca Pública Municipal de Cistierna;Biblioteca Pública Municipal de Cistierna;Juan Ignacio Álvarez Tascón;C/ Luis Ameijide, s/n. 24800 Cistierna (León);C/ Luis Ameijide, s/n;24800;Cistierna;1,18E+12;;987 700 007, 987 700 002 (Ayto.);987 700 009 (Ayto.);;;;42.80302091148908#-5.12513279914856#100;;León;1,28E+12;1,19E+12;20140313;http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaLeon/es/Plantilla100Detalle/1284212879528/_/1194605562453/DirectorioPadre
Biblioteca Pública Municipal de Sabero;"Biblioteca Pública Municipal ""Silvino Fernández"" de Sabero";Juan Manuel Castro Martínez;Avda. Diez de Enero, 53. 24810 Sabero (León);Avda. Diez de Enero, 53;24810;Sabero;1,18E+12;;987 703 122 (Ayto.);987 703 123 (Ayto.);;;;42.834153452384584#-5.1465582847595215#94;;León;1,28E+12;1,19E+12;20140313;http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaLeon/es/Plantilla100Detalle/1284212879528/_/1194850940994/DirectorioPadre
Biblioteca Pública Municipal de Arganza;Biblioteca Pública Municipal de Arganza;Begoña Quintana Ovalle;C/ del Val, 40. 24546 Arganza (León);C/ del Val 40;24546;Arganza;1,18E+12;;987 549 411, 987 546 704 (Ayto.);;;;;42.638931214432475#-6.68567419052124#100;;León;1,28E+12;1,19E+12;20140313;http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaLeon/es/Plantilla100Detalle/1284212879528/_/1194937232814/DirectorioPadre
Biblioteca Pública Municipal de Puente Castro;Biblioteca Pública Municipal de Puente Castro;;Plaza del Maestro, s/n. 24005 León;Plaza del Maestro, s/n;24005;León;1,18E+12;;987 212 897, 987 276 998 (Ayto.);;;educacion.grdf@aytoleon.com;;42.58002509546801#-5.5526018142700195#94;;León;1,28E+12;1,21E+12;20140313;http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaLeon/es/Plantilla100Detalle/1284212879528/_/1213708664304/DirectorioPadre
Biblioteca Pública Municipal de Baltanás;;María José Valdés Nieto;C/ Escuelas, nº 2. 34240 Baltanás;C/ Escuelas, nº 2;34240;Baltanás;1,18E+12;;979 790 049;;;mj_vn@hotmail.com;;41.93847616998428#-4.246124625205994#106;;Palencia;1,28E+12;1,19E+12;20140313;http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaPalencia/es/Plantilla100Detalle/1284212879564/_/1194332696008/DirectorioPadre
Biblioteca Pública Municipal de Herrera de Pisuerga;;Carmen Gutiérrez Rebollo;C/ Panamá, s/n. 34400 Herrera de Pisuerga;C/ Panamá, s/n;34400;Herrera de Pisuerga;1,18E+12;;979 140 116;;;bibliotecaherrera@gmail.com;;42.59564932998791#-4.334685802459717#94;;Palencia;1,28E+12;1,20E+12;20140313;http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaPalencia/es/Plantilla100Detalle/1284212879564/_/1195196642372/DirectorioPadre
Biblioteca Pública Municipal de Torquemada;;Emilia Sardón Santoyo;C/ Jorge Guillén, s/n. 34230 Torquemada;C/ Jorge Guillén, s/n;34230;Torquemada;1,18E+12;;979 800 116;;;bibliotecatorquemada@hotmail.com;;42.03441669531824#-4.318796396255493#100;;Palencia;1,28E+12;1,20E+12;20140313;http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaPalencia/es/Plantilla100Detalle/1284212879564/_/1195196680747/DirectorioPadre
Biblioteca Pública Municipal de Villarramiel;;Angustias Agüera Pérez;C/ Isaac Hijosa, nº 5. 34140 Villarramiel;C/ Isaac Hijosa, nº 5;34140;Villarramiel;1,18E+12;;979 837 502;;;biblioteca_villarramiel@yahoo.es;;42.04249650962893#-4.912063479423523#106;;Palencia;1,28E+12;1,20E+12;20140313;http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaPalencia/es/Plantilla100Detalle/1284212879564/_/1195196695889/DirectorioPadre
Biblioteca del Museo de Palencia;;Begoña Villasur Escudero;C/ Plaza del Cordón, nº 1. 34001 Palencia;C/ Plaza del Cordón, nº 1;34001;Palencia;1,18E+12;;979 752 328;979 700 599;;vilescbe@jcyl.es;;42.00976452537869#-4.5351433753967285#94;;Palencia;1,28E+12;1,28E+12;20140313;http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaPalencia/es/Plantilla100Detalle/1284212879564/_/1284141881146/DirectorioPadre
Biblioteca Pública Municipal de Barruecopardo;;Teresa Iglesias Barahona;;C/ La Ortiga;37255;Barruecopardo;1,18E+12;;923 507 254;;923 507 002;aytobarruecopardo@wanaddo.es;;41.073010322548555#-6.665225028991699#94;;Salamanca;1,28E+12;1,20E+12;20140313;http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaSalamanca/es/Plantilla100Detalle/1284212879599/_/1195686999450/DirectorioPadre
Biblioteca Pública Municipal de Villares de la Reina;;Samuel Recio;;Ctra. La Mata, 160;37184;Villares de la Reina;1,18E+12;;923 288 587;;923 287 103;cultura@aytovillares.com;;41.00911504014288#-5.651435852050781#88;;Salamanca;1,28E+12;1,20E+12;20140313;http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaSalamanca/es/Plantilla100Detalle/1284212879599/_/1195687073618/DirectorioPadre
Biblioteca Pública Municipal de Peñaranda de Bracamonte;;María Antonia Moreno Mulas;;Plaza de España, s/n;37300;Peñaranda de Bracamonte;1,18E+12;;923 54 12 00;;923 54 16 87;amoreno@fundaciongsr.es;http://www.fundaciongsr.es;40.90131736391921#-5.2002668380737305#88;;Salamanca;1,28E+12;1,20E+12;20140313;http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaSalamanca/es/Plantilla100Detalle/1284212879599/_/1195801286556/DirectorioPadre
Biblioteca Pública Municipal de Endrinal;;Ayuntamiento;;Plaza de la Iglesia;37766;Endrinal;1,18E+12;;923 150 005;;;;;40.591144238406095#-5.804085731506348#88;;Salamanca;1,28E+12;1,20E+12;20140313;http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaSalamanca/es/Plantilla100Detalle/1284212879599/_/1195801306761/DirectorioPadre
Biblioteca Pública Municipal de Terradillos/El Encinar;;Sinforiana Casero Izquierdo;;Trasera de Calle Tormes, s/n;37190;Terradillos;1,18E+12;;923 373 165;;;biblioteca@ayto.terradillos.com;;40.88357190912476#-5.584144592285156#88;;Salamanca;1,28E+12;1,20E+12;20140313;http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaSalamanca/es/Plantilla100Detalle/1284212879599/_/1195801345670/DirectorioPadre
